Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,OeFG%,OTOV%,OORB%,OFT/FGA,,DeFG%,DTOV%,DDRB%,DFT/FGA,,Arena,Attend.,Attend./G
1,Phoenix Suns,27.5,62,16,57,21,7.81,-0.53,7.28,115,107.2,7.8,99.7,0.227,0.353,0.584,,0.551,11.6,22,0.181,,0.509,13,76.9,0.19,,Phoenix Suns Arena,"629,029","16,129"
2,Boston Celtics,26.1,49,30,56,23,6.97,-0.38,6.59,114,106.8,7.2,96.4,0.241,0.422,0.576,,0.539,12.3,24,0.197,,0.501,12.5,77.4,0.184,,TD Garden,"727,928","17,754"
3,Memphis Grizzlies,24,55,23,53,25,6.24,-0.51,5.74,114.8,108.6,6.2,100.2,0.245,0.345,0.553,,0.522,11.2,30.2,0.18,,0.521,13.2,78,0.192,,FedEx Forum,"612,137","15,696"
4,Utah Jazz,29.3,46,32,52,26,5.49,-0.31,5.18,116.6,111,5.6,97.1,0.264,0.47,0.59,,0.557,12.7,25,0.203,,0.523,10.9,78.1,0.164,,Vivint Smart Home Arena,"695,628","18,306"
5,Golden State Warriors,27.6,50,29,52,27,5.2,0.05,5.25,112.2,106.9,5.3,98.4,0.236,0.459,0.58,,0.55,13.5,22.8,0.181,,0.51,13.1,78.7,0.2,,Chase Center,"722,560","18,064"
6,Miami Heat,28.2,51,28,50,29,4.38,-0.16,4.22,113.3,108.7,4.6,95.8,0.251,0.42,0.581,,0.544,13.4,23.6,0.202,,0.522,13.8,78,0.211,,FTX Arena,"765,168","19,620"
7,Milwaukee Bucks,28.5,48,30,46,32,3.03,-0.17,2.86,114.8,111.8,3,99.8,0.256,0.433,0.579,,0.546,12,23.1,0.198,,0.536,11.6,78.6,0.165,,Fiserv Forum,"697,535","17,438"
8,Minnesota Timberwolves,24.2,45,34,47,32,2.94,-0.07,2.87,114.3,111.4,2.9,100.8,0.253,0.454,0.573,,0.538,12.5,24.5,0.197,,0.533,14.3,75,0.227,,Target Center,"605,740","15,941"
9,Denver Nuggets,27.7,47,32,46,33,2.53,-0.17,2.37,114.5,111.9,2.6,97.7,0.243,0.417,0.59,,0.556,13.2,21.9,0.193,,0.537,11.7,78.2,0.185,,Ball Arena,"639,185","16,821"
10,Dallas Mavericks,26.7,49,30,46,33,2.44,0.04,2.48,112,109.5,2.5,95.3,0.245,0.438,0.567,,0.534,11.6,21.2,0.189,,0.522,12.2,77.9,0.183,,American Airlines Center,"767,593","19,682"
11,Toronto Raptors,24.7,45,33,45,33,2.33,0.13,2.46,112.8,110.4,2.4,95.9,0.234,0.375,0.543,,0.511,11.1,28.4,0.177,,0.534,14.5,75.4,0.2,,Scotiabank Arena,"487,943","12,841"
12,Philadelphia 76ers,26.8,48,30,45,33,2.37,0.08,2.45,112.9,110.5,2.4,96.1,0.282,0.375,0.575,,0.53,11.6,19.9,0.232,,0.522,12,77.1,0.19,,Wells Fargo Center,"804,237","20,621"
13,Cleveland Cavaliers,24.7,43,36,45,34,2.18,-0.04,2.14,111.5,109.2,2.3,96.1,0.262,0.387,0.57,,0.536,13.4,24,0.199,,0.519,12.4,76.4,0.171,,Rocket Mortgage Fieldhouse,"738,796","18,470"
14,Atlanta Hawks,26.1,41,37,42,36,1.42,0.04,1.47,116.3,114.9,1.4,97.7,0.255,0.389,0.58,,0.542,10.8,22.9,0.207,,0.543,11.6,76.8,0.177,,State Farm Arena,"655,361","16,384"
15,Chicago Bulls,26.3,45,33,40,38,0.31,-0.18,0.13,113.4,113,0.4,98.3,0.247,0.334,0.579,,0.541,11.6,20.2,0.201,,0.537,11.9,78.3,0.2,,United Center,"792,793","20,863"
16,Brooklyn Nets,29.2,40,38,40,38,0.26,0.16,0.42,113.2,112.9,0.3,99.1,0.245,0.358,0.574,,0.538,12.5,23.6,0.196,,0.522,11.8,75.1,0.202,,Barclays Center,"657,635","17,306"
17,San Antonio Spurs,24.6,33,45,39,39,0.17,-0.23,-0.06,112.4,112.2,0.2,100,0.216,0.346,0.556,,0.527,11.2,24.1,0.162,,0.533,12.1,75.1,0.174,,AT&T Center,"596,961","14,924"
18,Charlotte Hornets,25.5,40,38,39,39,0.08,0.17,0.25,113.6,113.5,0.1,100,0.236,0.418,0.568,,0.54,11.5,23.3,0.174,,0.543,13.1,74.7,0.187,,Spectrum Center,"665,863","17,073"
19,New York Knicks,26.1,35,44,38,41,-0.39,0.11,-0.29,110.5,110.9,-0.4,95.9,0.281,0.427,0.55,,0.513,12.1,25.2,0.209,,0.521,11.5,78.7,0.2,,Madison Square Garden (IV),"723,860","18,561"
20,Los Angeles Clippers,27.5,39,40,37,42,-0.9,0.19,-0.71,109.6,110.5,-0.9,97.9,0.222,0.389,0.562,,0.529,12.5,20.5,0.176,,0.517,12.1,74.3,0.17,,Crypto.com Arena,"639,159","16,820"
21,New Orleans Pelicans,25.6,34,44,36,42,-1.03,0.19,-0.84,111.5,112.6,-1.1,97.2,0.263,0.365,0.556,,0.517,12.6,26.5,0.207,,0.542,12.8,78.2,0.197,,Smoothie King Center,"606,914","15,562"
22,Los Angeles Lakers,30.4,31,47,31,47,-3.17,-0.09,-3.26,110.1,113.2,-3.1,99.9,0.249,0.388,0.566,,0.537,12.8,21.2,0.181,,0.539,12.2,75.6,0.194,,Crypto.com Arena,"745,634","18,641"
23,Washington Wizards,26,34,44,31,47,-3.1,0.08,-3.02,111.2,114.4,-3.2,96.9,0.255,0.357,0.568,,0.531,12,20.9,0.201,,0.527,10.7,76.7,0.204,,Capital One Arena,"622,027","15,551"
24,Indiana Pacers,26.1,25,54,32,47,-3.23,0.14,-3.09,112.3,115.6,-3.3,97.8,0.238,0.395,0.562,,0.53,12.8,25.5,0.182,,0.547,11.8,76.3,0.203,,Gainbridge Fieldhouse,"573,160","14,329"
25,Sacramento Kings,25.8,29,50,27,52,-5.34,0.14,-5.2,109.9,115.2,-5.3,99.8,0.262,0.378,0.56,,0.523,12.5,21.7,0.202,,0.551,11.9,76.2,0.176,,Golden 1 Center,"561,536","14,038"
26,Oklahoma City Thunder,22.4,23,55,22,56,-7.22,0.28,-6.94,104.8,112.1,-7.3,98.7,0.225,0.422,0.531,,0.498,12.5,21.8,0.171,,0.53,11.8,76.3,0.167,,Paycom Center,"580,438","14,511"
27,Detroit Pistons,23.6,23,56,22,57,-7.25,0.25,-7,106,113.3,-7.3,98.4,0.245,0.389,0.533,,0.495,12.6,23.3,0.191,,0.54,13.2,75.6,0.226,,Little Caesars Arena,"623,046","15,976"
28,Portland Trail Blazers,25.8,27,51,21,57,-7.82,0.33,-7.49,108.7,116.6,-7.9,98.4,0.252,0.423,0.552,,0.517,12.8,23.4,0.191,,0.559,12.6,77.5,0.22,,Moda Center,"687,485","17,187"
29,Orlando Magic,23.3,20,59,20,59,-8.2,0.26,-7.94,104.1,112.4,-8.3,99.2,0.226,0.414,0.536,,0.5,13.1,20,0.178,,0.531,11.8,77.1,0.197,,Amway Center,"586,731","15,044"
30,Houston Rockets,24.2,20,59,21,58,-8.41,0.2,-8.21,108.2,116.5,-8.3,100.9,0.285,0.448,0.565,,0.534,14.6,21.7,0.203,,0.554,12.3,74.5,0.205,,Toyota Center,"620,922","15,523"
,League Average,26.3,,,39,39,0,0,0,111.8,111.8,,98.2,0.248,0.399,0.565,,0.531,12.4,23.2,0.192,,0.531,12.4,76.8,0.192,,,"661,100","16,850"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,