Rk,Team,Overall,Home,Road,Econ,Wcon,Acon,Cdiv,Sediv,Nwdiv,Pdiv,Swdiv,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,62-16,31-8,31-8,25-5,37-11,2-Aug,1-Sep,2-Aug,13-4,4-Sep,15-3,48-10,14-6,2-Jun,36-9,3-Feb,16-0,5-Sep,13-1,3-Sep,13-2,0-2
2,Memphis Grizzlies,55-23,29-10,26-13,20-9,35-14,3-Jun,1-Sep,5-May,6-Oct,15-3,5-Oct,41-19,14-4,3-May,32-15,3-Mar,7-Aug,4-Dec,4-Dec,2-Aug,3-Nov,Jan-00
3,Miami Heat,51-28,27-12,24-16,33-16,18-12,8-Oct,6-Dec,2-Nov,4-Jun,6-Apr,2-Aug,38-21,13-7,6-Mar,30-14,1-May,7-Aug,5-Oct,6-Sep,2-Sep,7-Aug,Feb-00
4,Golden State Warriors,50-29,30-10,20-19,20-10,30-19,4-Jun,2-Aug,4-Jun,6-Dec,4-Nov,9-Jul,42-17,12-Aug,5-Jun,32-10,1-May,13-2,4-Sep,6-Nov,5-May,11-May,Feb-00
5,Boston Celtics,49-30,28-13,21-17,32-18,17-12,7-Sep,5-Nov,6-Dec,3-Jul,5-May,4-May,34-26,15-4,9-Mar,33-9,4-Feb,6-Sep,9-Jun,6-Oct,2-Sep,3-Nov,Feb-00
6,Dallas Mavericks,49-30,27-12,22-18,15-14,34-16,4-Jun,4-May,6-Apr,6-Nov,8-Oct,13-2,35-24,14-6,5-Jul,24-14,2-Apr,7-Jun,9-Jul,4-Dec,3-Jul,4-Dec,1-Jan
7,Milwaukee Bucks,48-30,26-14,22-16,30-18,18-12,8-Sep,3-Oct,7-Nov,5-May,3-Jul,4-Jun,36-24,6-Dec,2-Apr,29-14,4-Mar,4-Oct,5-Nov,8-Jul,4-Jun,3-Nov,0-2
8,Philadelphia 76ers,48-30,22-17,26-13,29-19,19-11,9-Jun,4-Nov,6-Dec,5-May,4-Jun,2-Aug,35-23,13-7,6-Jun,26-11,2-Apr,8-Jul,6-Aug,3-Dec,4-Jun,7-Sep,Feb-00
9,Denver Nuggets,47-32,22-16,25-16,19-11,28-21,4-Jun,5-May,2-Aug,10-Jun,13-4,7-Sep,33-25,14-7,3-Aug,22-19,2-Apr,8-Jun,6-Jul,5-Nov,4-Aug,6-Oct,1-Jan
10,Utah Jazz,46-32,27-11,19-21,16-14,30-18,3-Jul,6-Apr,5-May,13-1,8-Sep,9-Aug,36-22,10-Oct,6-Jan,32-10,1-May,6-Sep,2-Dec,12-Apr,1-Aug,9-Aug,0-1
11,Chicago Bulls,45-33,27-11,18-22,29-20,16-13,9-Aug,5-Oct,6-Nov,2-Jul,5-May,6-Apr,38-21,12-Jul,4-Apr,23-17,1-May,7-Sep,2-Sep,8-Aug,5-Aug,9-Jun,0-1
12,Minnesota Timberwolves,45-34,25-13,20-21,14-14,31-20,6-Apr,2-Jul,6-Mar,4-Dec,10-Aug,6-Nov,31-28,14-6,4-Apr,28-20,2-Mar,8-Aug,9-May,6-Sep,4-Aug,5-Oct,Feb-00
13,Toronto Raptors,45-33,21-17,24-16,28-21,17-12,5-Sep,10-Aug,6-Nov,5-May,3-Jul,4-May,32-25,13-8,6-Jun,24-13,3-Apr,10-May,4-Jun,6-Oct,4-Aug,5-Nov,1-Jan
14,Cleveland Cavaliers,43-36,24-16,19-20,26-23,17-13,9-Aug,6-Sep,8-Sep,2-Aug,6-Apr,5-May,35-23,13-Aug,4-Oct,21-18,4-Mar,6-Aug,6-Sep,4-Nov,5-May,10-Jun,1-Jan
15,Atlanta Hawks,41-37,26-14,15-23,25-24,16-13,11-Jun,7-Nov,6-Aug,5-May,4-Jun,4-May,28-30,13-7,3-Jul,22-17,3-Mar,7-Aug,9-May,7-Aug,5-May,6-Nov,Jan-00
16,Brooklyn Nets,40-38,17-21,23-17,28-21,17-Dec,6-Sep,6-Oct,9-Sep,6-Apr,7-Mar,4-May,31-28,10-Sep,4-Aug,17-20,3-Apr,3-Nov,4-Aug,10-Jun,10-Mar,7-Aug,0-1
17,Charlotte Hornets,40-38,20-19,20-19,24-24,16-14,10-Aug,7-Oct,7-Jun,4-Jun,7-Mar,3-Jul,29-31,7-Nov,8-Jun,21-22,2-May,8-Aug,7-Jun,6-Sep,10-Feb,4-Oct,0-1
18,Los Angeles Clippers,39-40,22-16,17-24,16-14,23-26,6-Apr,6-Apr,2-Aug,8-Sep,7-Jul,11-Jul,30-31,9-Sep,5-Oct,18-21,4-Jan,6-Oct,8-Jul,9-Aug,4-Jun,9-May,Feb-00
19,New York Knicks,35-44,16-23,19-21,20-29,15-15,10-Apr,10-Aug,9-Aug,8-Feb,4-Jun,3-Jul,25-34,10-Oct,6-May,17-22,1-May,9-Jun,9-Jun,8-Jul,9-Jan,7-Sep,1-Jan
20,New Orleans Pelicans,34-44,18-21,16-23,19-Nov,23-25,8-Feb,4-Jun,7-Mar,9-Aug,7-Sep,9-Jun,23-36,8-Nov,3-Apr,21-28,6-Jan,11-May,5-Jul,10-May,4-Jul,7-Aug,1-Jan
21,Washington Wizards,34-44,21-19,13-25,24-25,19-Oct,9-Aug,9-Sep,7-Jul,5-Apr,8-Feb,6-Apr,27-31,13-Jul,6-Dec,24-Oct,1-May,7-Aug,9-May,9-May,7-Apr,10-Jun,1-Jan
22,San Antonio Spurs,33-45,16-24,17-21,20-Oct,23-25,8-Feb,7-Mar,5-May,6-Oct,10-Jul,9-Jun,23-36,9-Oct,5-Jun,18-23,4-Feb,9-Apr,7-Aug,12-May,6-May,7-Jul,Feb-00
23,Los Angeles Lakers,31-47,20-20,27-Nov,15-15,16-32,6-Apr,5-May,4-Jun,10-Jun,11-Mar,11-Jul,27-31,16-Apr,7-May,20-Dec,3-Apr,8-Aug,8-Jun,8-Jun,6-Mar,12-Apr,0-2
24,Sacramento Kings,29-50,16-24,13-26,20-Oct,19-30,9-Jan,7-Mar,4-Jun,12-Jun,9-May,9-Aug,22-38,12-Jul,8-Jul,28-Nov,3-Mar,11-May,8-Jul,12-Mar,6-May,9-May,1-Jan
25,Portland Trail Blazers,27-51,17-23,28-Oct,16-14,Nov-37,4-Jun,5-May,5-May,13-Jan,13-May,11-May,25-34,17-Feb,5-Jan,Nov-38,3-Mar,8-Aug,11-Feb,8-Aug,6-Apr,13-Feb,0-2
26,Indiana Pacers,25-54,16-24,30-Sep,Nov-38,14-16,10-May,14-Feb,14-Apr,6-Apr,6-Apr,4-Jun,20-40,14-May,14-Mar,14-18,6-Jan,8-Aug,8-May,11-May,9-Feb,10-Apr,0-2
27,Detroit Pistons,23-56,13-26,30-Oct,18-32,24-May,12-May,9-Jun,11-Jul,8-Feb,9-Jan,7-Feb,13-45,11-Oct,6-Jul,30-Jun,5-Jan,12-Mar,11-Jan,9-Jul,9-Mar,10-Jun,Feb-00
28,Oklahoma City Thunder,23-55,29-Nov,26-Dec,23-Jul,16-32,6-Apr,8-Feb,9-Jan,9-May,11-May,12-Jun,18-40,15-May,6-Jul,29-Sep,5-Jan,9-May,8-Jul,12-Feb,8-Apr,12-Mar,1-Jan
29,Houston Rockets,20-59,29-Nov,30-Sep,18-Sep,Nov-41,7-Jan,7-Mar,4-May,12-Jun,16-Feb,13-Mar,15-43,16-May,8-Mar,Sep-42,5-Jan,11-Mar,10-Jun,10-Apr,9-Jan,12-May,0-2
30,Orlando Magic,20-59,29-Oct,30-Oct,Oct-39,20-Oct,14-Apr,13-Apr,12-Feb,4-Jun,9-Jan,7-Mar,13-47,12-Jul,7-Feb,May-38,6-Jan,12-Mar,11-Mar,11-Apr,7-Apr,10-May,0-2
,,,,,,,,,,,,,,,,,,,,,,,