Rank,TEAM,GP,W,L,MIN,OffRtg,DefRtg,NetRtg,AST%,AST/TO,ASTRatio,OREB%,DREB%,REB%,TOV%,eFG%,TS%,PACE,PIE,POSS
1,Boston Celtics,35,27,8,1685,118.8,104.6,14.2,63.9,2.1,19.8,27.3,72.4,51.3,13.2,56.9,60.3,97.15,58.3,"3,408"
2,Miami Heat,36,24,12,1753,113,108.5,4.4,64.5,1.73,18.9,26.2,72.5,50.1,15.1,55.1,59,96.45,53.2,"3,523"
3,Memphis Grizzlies,33,25,8,1589,118.2,109.2,9,58.2,2.07,18,36,72.6,53.8,12.5,53.2,56.2,101.51,54.6,"3,368"
4,Phoenix Suns,36,29,7,1733,117.7,109.8,7.9,63.1,2.42,20.2,26,72.6,50.2,11.8,56.4,59.5,99.96,55.3,"3,608"
5,Toronto Raptors,38,24,14,1854,113.5,109.9,3.6,54.2,1.81,16.3,31.7,71.9,50.8,12.6,51.9,55.2,96.57,49.8,"3,732"
6,New Orleans Pelicans,35,18,17,1685,114.6,111.3,3.3,60.5,1.87,18.3,30.4,72.1,51.4,13.8,53.6,57.6,97.98,52.7,"3,437"
7,Philadelphia 76ers,36,23,13,1738,114.3,111.5,2.8,61.7,1.97,18,25.2,73.9,49.9,12.5,53.3,58.3,96.87,51.5,"3,508"
8,Orlando Magic,35,12,23,1695,104.2,111.5,-7.3,64.7,1.74,18.2,23.2,74.6,48.8,14.1,50.8,54.4,100.98,46.9,"3,569"
9,Golden State Warriors,36,19,17,1733,113.4,111.6,1.7,63.8,1.85,18.9,26.7,72.7,50.3,14.2,55.3,58.4,98.11,51.1,"3,546"
10,New York Knicks,36,13,23,1738,111,112,-1,59.4,1.69,16.4,30.5,74.9,52.1,13.5,51.2,55.1,97.37,48.8,"3,529"
11,Dallas Mavericks,36,25,11,1733,114.7,112.3,2.3,57.3,1.79,17.3,25.4,71.1,48.7,13.2,54.9,58.4,95.06,50.5,"3,430"
12,Charlotte Hornets,35,17,18,1700,114,113.1,0.9,68.1,2.16,20,28.4,70.2,49.2,13.2,54,57.1,99.49,50.8,"3,523"
13,Utah Jazz,35,17,18,1685,115.9,113.1,2.8,56.3,1.65,16.9,30.8,72.7,51.8,14.2,54.8,58.1,95.46,51,"3,349"
14,Cleveland Cavaliers,35,17,18,1690,111.2,113.1,-1.9,63,1.73,18.4,28.3,72.1,50.4,14.7,53.7,57.3,95.74,50,"3,377"
15,Oklahoma City Thunder,36,9,27,1753,106.1,113.3,-7.2,60.4,1.62,17.3,25.9,72.4,48.9,14.6,51.5,54.7,100.38,45.8,"3,662"
16,Atlanta Hawks,36,24,12,1733,118.2,113.6,4.6,60.2,2.21,18.5,27.2,72,49.9,11.6,55.4,59.5,99.21,52.7,"3,586"
17,Denver Nuggets,37,25,12,1791,118.4,113.9,4.5,68.3,1.92,20.6,28.1,74.8,52.4,15.2,57.6,61.5,99.52,52.6,"3,709"
18,Minnesota Timberwolves,36,24,12,1733,119.2,114,5.2,62.2,2,18.8,26.7,71.2,49,13.1,56.5,60.4,102.56,52.1,"3,700"
19,San Antonio Spurs,35,17,18,1690,115.2,114.1,1,65,2.28,19.8,29.3,70.3,49.5,12.4,53.6,56.9,100.53,51.2,"3,537"
20,Detroit Pistons,37,13,24,1786,110,114.4,-4.4,62.1,1.89,17.9,29.2,69.6,48.7,13.3,50.9,54.6,98.12,46.6,"3,651"
21,LA Clippers,35,18,17,1695,113.8,114.5,-0.7,60.8,2,18.5,26,70.6,48.8,12.8,54.6,58,97.98,50,"3,463"
22,Chicago Bulls,37,18,19,1786,113.2,115.7,-2.5,56.3,1.96,17.7,24.7,74.6,49.9,12.2,54.1,58,98.47,49.3,"3,671"
23,Milwaukee Bucks,33,21,12,1589,117.8,116,1.8,56.7,1.93,17.7,26.9,76.3,51.8,12.5,56.1,59.6,101.2,50.7,"3,351"
24,Los Angeles Lakers,35,10,25,1695,111.4,116.2,-4.8,56.7,1.69,17.4,25.6,72,48.5,14,54.2,57,99.28,46.7,"3,501"
25,Washington Wizards,35,12,23,1690,112,116.5,-4.5,64.2,2.05,19.2,25.1,72.1,48.8,13,53.7,57.5,97.29,49.4,"3,425"
26,Brooklyn Nets,36,13,23,1733,114.5,116.8,-2.4,57.8,1.79,17.8,29.3,69.3,49.3,13.8,54.2,57.5,98.94,48.4,"3,569"
27,Sacramento Kings,33,11,22,1594,110.5,117.2,-6.7,60.4,1.75,17.9,24.1,73.4,48.1,13.9,53,56.9,100.37,46.8,"3,327"
28,Portland Trail Blazers,36,10,26,1733,105.6,117.7,-12.1,59.8,1.54,16.9,27.3,71.3,48.3,15.1,50.8,54,99.41,42.4,"3,589"
29,Houston Rockets,34,7,27,1642,110,118.3,-8.2,61.5,1.55,17.7,26.6,70.4,47.7,15.7,53.9,56.8,100.72,44.5,"3,444"
30,Indiana Pacers,36,10,26,1748,114.4,120.3,-5.9,62.4,1.8,18.6,32.8,70.9,51.2,14.8,54.1,57.2,99.78,46.3,"3,632"