Rk,Team,Overall,Home,Road,E,W,A,C,SE,NW,P,SW,Pre,Post,≤3,≥10,Oct,Nov,Dec,Jan,Feb,Mar,Apr
1,Phoenix Suns,63-16,32-8,31-8,25-5,38-11,8-2,9-1,8-2,13-4,10-4,15-3,48-10,15-6,6-2,37-9,2-3,16-0,9-5,13-1,9-3,13-2,1-2
2,Memphis Grizzlies,55-24,29-10,26-14,20-9,35-15,6-3,9-1,5-5,10-7,15-3,10-5,41-19,14-5,5-3,32-15,3-3,8-7,12-4,12-4,8-2,11-3,1-1
3,Miami Heat,52-28,28-12,24-16,34-16,18-12,10-8,12-6,12-2,6-4,4-6,8-2,38-21,14-7,3-6,31-14,5-1,8-7,10-5,9-6,9-2,8-7,3-0
4,Golden State Warriors,50-29,30-10,20-19,20-10,30-19,6-4,8-2,6-4,12-6,11-4,7-9,42-17,8-12,6-5,32-10,5-1,13-2,9-4,11-6,5-5,5-11,2-0
5,Boston Celtics,49-30,28-13,21-17,32-18,17-12,9-7,11-5,12-6,7-3,5-5,5-4,34-26,15-4,3-9,33-9,2-4,9-6,6-9,10-6,9-2,11-3,2-0
6,Dallas Mavericks,49-30,27-12,22-18,15-14,34-16,6-4,5-4,4-6,11-6,10-8,13-2,35-24,14-6,7-5,24-14,4-2,6-7,7-9,12-4,7-3,12-4,1-1
7,Milwaukee Bucks,49-30,26-14,23-16,31-18,18-12,9-8,11-3,11-7,5-5,7-3,6-4,36-24,13-6,4-2,30-14,3-4,10-4,11-5,7-8,6-4,11-3,1-2
8,Philadelphia 76ers,49-30,22-17,27-13,30-19,19-11,6-9,12-4,12-6,5-5,6-4,8-2,35-23,14-7,6-6,26-11,4-2,7-8,8-6,12-3,6-4,9-7,3-0
9,Denver Nuggets,47-33,22-17,25-16,19-11,28-22,6-4,5-5,8-2,6-10,13-4,9-8,33-25,14-8,8-3,22-20,4-2,6-8,7-6,11-5,8-4,10-6,1-2
10,Utah Jazz,47-32,28-11,19-21,16-14,31-18,7-3,4-6,5-5,13-1,9-8,9-9,36-22,11-10,1-6,32-10,5-1,9-6,12-2,4-12,8-1,8-9,1-1
11,Toronto Raptors,46-33,22-17,24-16,29-21,17-12,9-5,8-10,12-6,5-5,7-3,5-4,32-25,14-8,6-6,25-13,4-3,5-10,6-4,10-6,8-4,11-5,2-1
12,Chicago Bulls,45-34,27-12,18-22,29-21,16-13,8-9,10-6,11-6,7-2,5-5,4-6,38-21,7-13,4-4,23-18,5-1,9-7,9-2,8-8,8-5,6-9,0-2
13,Minnesota Timberwolves,45-35,25-14,20-21,14-15,31-20,4-6,7-2,3-7,12-4,8-10,11-6,31-28,14-7,4-4,28-21,3-2,8-8,5-9,9-6,8-4,10-5,2-1
14,Cleveland Cavaliers,43-37,24-16,19-21,26-24,17-13,8-9,9-6,9-9,8-2,4-6,5-5,35-23,8-14,10-4,21-18,3-4,8-6,9-6,11-4,5-5,6-10,1-2
15,Atlanta Hawks,41-38,26-14,15-24,25-25,16-13,6-12,11-7,8-6,5-5,6-4,5-4,28-30,13-8,7-3,22-18,3-3,8-7,5-9,8-7,5-5,11-6,1-1
16,Brooklyn Nets,41-38,18-21,23-17,28-21,13-17,9-6,10-6,9-9,4-6,3-7,6-4,31-28,10-10,8-4,18-20,4-3,11-3,8-4,6-10,3-10,8-7,1-1
17,Charlotte Hornets,40-39,20-19,20-20,24-25,16-14,8-10,10-7,6-8,6-4,3-7,7-3,29-31,11-8,6-8,21-23,5-2,8-8,6-7,9-6,2-10,10-4,0-2
18,Los Angeles Clippers,39-40,22-16,17-24,16-14,23-26,4-6,4-6,8-2,9-8,7-7,7-11,30-31,9-9,10-5,18-21,1-4,10-6,7-8,8-9,6-4,5-9,2-0
19,New Orleans Pelicans,35-44,18-21,17-23,11-19,24-25,2-8,6-4,3-7,8-9,10-7,6-9,23-36,12-8,4-3,22-28,1-6,5-11,7-5,5-10,7-4,8-7,2-1
20,New York Knicks,35-44,16-23,19-21,20-29,15-15,4-10,8-10,8-9,2-8,6-4,7-3,25-34,10-10,5-6,17-22,5-1,6-9,6-9,7-8,1-9,9-7,1-1
21,Washington Wizards,35-44,21-19,14-25,24-25,11-19,8-9,9-9,7-7,5-5,2-8,4-6,27-31,8-13,12-6,11-24,5-1,8-7,5-9,5-9,4-7,6-10,2-1
22,San Antonio Spurs,34-45,16-24,18-21,10-20,24-25,2-8,3-7,5-5,11-6,7-10,6-9,23-36,11-9,6-5,19-23,2-4,4-9,8-7,5-12,5-6,7-7,3-0
23,Los Angeles Lakers,31-48,20-20,11-28,15-15,16-33,4-6,5-5,6-4,6-10,3-12,7-11,27-31,4-17,5-7,12-21,4-3,8-8,6-8,6-8,3-6,4-12,0-3
24,Sacramento Kings,29-51,16-25,13-26,10-20,19-31,1-9,3-7,6-4,6-12,5-9,8-10,22-38,7-13,7-8,11-29,3-3,5-11,7-8,3-12,5-6,5-9,1-2
25,Portland Trail Blazers,27-52,17-23,10-29,16-14,11-38,6-4,5-5,5-5,1-14,5-13,5-11,25-34,2-18,1-5,11-38,3-3,8-8,2-11,8-8,4-6,2-13,0-3
26,Indiana Pacers,25-55,16-25,9-30,11-39,14-16,5-11,2-14,4-14,4-6,4-6,6-4,20-40,5-15,3-14,14-18,1-6,8-8,5-8,5-11,2-9,4-10,0-3
27,Oklahoma City Thunder,24-55,12-29,12-26,7-23,17-32,4-6,2-8,1-9,6-9,5-11,6-12,18-40,6-15,7-6,9-29,1-5,5-9,7-8,2-12,4-8,3-12,2-1
28,Detroit Pistons,23-56,13-26,10-30,18-32,5-24,5-12,6-9,7-11,2-8,1-9,2-7,13-45,10-11,7-6,6-30,1-5,3-12,1-11,7-9,3-9,6-10,2-0
29,Orlando Magic,21-59,11-29,10-30,11-39,10-20,4-14,5-13,2-12,6-4,1-9,3-7,13-47,8-12,2-7,5-38,1-6,3-12,3-11,4-11,4-7,5-10,1-2
30,Houston Rockets,20-60,11-29,9-31,9-19,11-41,1-8,3-7,5-4,6-12,2-16,3-13,15-43,5-17,3-8,9-43,1-5,3-11,6-10,4-10,1-9,5-12,0-3
