`,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA,,Arena,Attend.,Attend./G
1,Phoenix Suns,27.5,60,14,55,19,8.43,-0.64,7.79,115.6,107.1,8.5,99.5,0.227,0.353,0.585,,0.553,11.5,22.4,0.182,,0.509,13,77.2,0.188,,Phoenix Suns Arena,"611,958","16,104"
2,Boston Celtics,26.1,46,28,52,22,6.66,-0.46,6.2,113.3,106.5,6.8,96.4,0.24,0.421,0.573,,0.535,12.3,23.9,0.196,,0.498,12.5,77.1,0.184,,TD Garden,"670,460","18,121"
3,Utah Jazz,29.3,45,29,50,24,5.93,-0.35,5.58,116.5,110.4,6.1,97.3,0.264,0.472,0.59,,0.556,12.8,25.1,0.206,,0.52,10.9,78.1,0.162,,Vivint Smart Home Arena,"677,322","18,306"
4,Memphis Grizzlies,24,52,23,51,24,6,-0.66,5.34,114.7,108.7,6,100.1,0.244,0.346,0.552,,0.522,11.2,30.2,0.179,,0.52,13.1,77.7,0.193,,FedEx Forum,"577,332","15,604"
5,Golden State Warriors,27.6,48,26,50,24,5.78,-0.09,5.7,112.5,106.7,5.8,98.4,0.233,0.46,0.581,,0.552,13.5,23,0.178,,0.51,13.2,78.7,0.197,,Chase Center,"686,432","18,064"
6,Miami Heat,28.2,47,28,47,28,3.89,-0.22,3.68,112.9,108.9,4,95.7,0.251,0.419,0.578,,0.54,13.4,23.9,0.204,,0.523,13.9,77.8,0.209,,FTX Arena,"745,568","19,620"
7,Milwaukee Bucks,28.5,46,28,45,29,3.69,-0.27,3.42,114.8,111.1,3.7,99.8,0.256,0.435,0.58,,0.546,12,23,0.198,,0.531,11.6,78.3,0.164,,Fiserv Forum,"661,610","17,411"
8,Minnesota Timberwolves,24.2,43,32,46,29,3.52,-0.1,3.43,114.1,110.6,3.5,100.6,0.252,0.455,0.57,,0.536,12.4,24.6,0.196,,0.528,14.2,75.1,0.228,,Target Center,"605,740","15,941"
9,Cleveland Cavaliers,24.7,41,33,43,31,2.49,-0.07,2.42,111.3,108.7,2.6,96,0.259,0.387,0.568,,0.535,13.4,24.2,0.197,,0.517,12.5,76.3,0.166,,Rocket Mortgage Fieldhouse,"680,500","18,392"
10,Dallas Mavericks,26.7,45,29,43,31,2.42,-0.01,2.41,111.3,108.7,2.6,95.4,0.243,0.434,0.563,,0.53,11.7,21.4,0.186,,0.52,12.4,77.9,0.184,,American Airlines Center,"727,034","19,650"
11,Denver Nuggets,27.7,44,31,43,32,2.45,-0.12,2.34,114,111.5,2.5,97.6,0.24,0.419,0.586,,0.553,13.1,21.7,0.19,,0.536,11.8,78.3,0.185,,Ball Arena,"619,573","16,745"
12,Philadelphia 76ers,26.7,46,27,42,31,2.34,-0.02,2.32,112.7,110.3,2.4,95.9,0.28,0.372,0.573,,0.529,11.5,19.9,0.229,,0.519,12,76.6,0.19,,Wells Fargo Center,"761,261","20,575"
13,Toronto Raptors,24.7,42,32,42,32,2,0.05,2.05,112.9,110.8,2.1,95.8,0.234,0.373,0.543,,0.51,11,28.5,0.177,,0.535,14.3,75.5,0.201,,Scotiabank Arena,"428,543","12,244"
14,Atlanta Hawks,26.2,37,37,39,35,0.72,0.16,0.87,115.6,114.9,0.7,97.5,0.25,0.386,0.577,,0.539,10.9,22.8,0.203,,0.543,11.5,76.8,0.176,,State Farm Arena,"619,744","16,309"
15,Brooklyn Nets,29.2,39,35,38,36,0.41,0.17,0.57,113.2,112.8,0.4,98.9,0.244,0.357,0.574,,0.538,12.5,23.8,0.196,,0.522,11.9,75.2,0.199,,Barclays Center,"603,993","17,257"
16,Chicago Bulls,26.3,43,31,38,36,0.39,-0.21,0.18,113.2,112.8,0.4,98.4,0.243,0.336,0.58,,0.543,11.8,20.1,0.197,,0.536,12,78.1,0.199,,United Center,"749,577","20,822"
17,Charlotte Hornets,25.6,38,36,38,36,0.27,0.09,0.36,113.5,113.2,0.3,100,0.237,0.42,0.567,,0.539,11.5,23.4,0.175,,0.541,13.1,74.9,0.186,,Spectrum Center,"648,249","17,059"
18,San Antonio Spurs,24.6,30,44,36,38,-0.39,0.02,-0.37,112,112.4,-0.4,100.1,0.212,0.343,0.553,,0.525,11.1,24.1,0.159,,0.533,12.2,74.9,0.175,,AT&T Center,"547,812","14,806"
19,New York Knicks,26.1,32,42,36,38,-0.53,0.27,-0.26,110.3,110.8,-0.5,95.9,0.278,0.425,0.549,,0.513,12.2,25.2,0.208,,0.521,11.6,78.5,0.198,,Madison Square Garden (IV),"664,424","18,456"
20,New Orleans Pelicans,25.6,31,43,34,40,-1.11,0.39,-0.71,111.3,112.4,-1.1,97.3,0.258,0.368,0.555,,0.517,12.6,26.4,0.203,,0.54,12.7,78.3,0.199,,Smoothie King Center,"588,398","15,484"
21,Los Angeles Clippers,27.5,36,39,33,42,-1.67,0.16,-1.51,108.4,110.1,-1.7,98,0.221,0.386,0.556,,0.523,12.6,20.4,0.174,,0.515,12.1,74.6,0.168,,Crypto.com Arena,"603,251","16,757"
22,Los Angeles Lakers,30.4,31,42,31,42,-2.66,-0.22,-2.88,109.8,112.4,-2.6,100.1,0.248,0.39,0.564,,0.536,12.9,21.2,0.18,,0.535,12.4,75.4,0.192,,Crypto.com Arena,"707,640","18,622"
23,Indiana Pacers,26.2,25,50,30,45,-3.07,0.09,-2.98,111.8,114.9,-3.1,97.8,0.238,0.394,0.56,,0.528,12.8,25.3,0.181,,0.544,11.7,76.6,0.203,,Gainbridge Fieldhouse,"526,505","14,230"
24,Washington Wizards,26,31,42,29,44,-3.34,-0.04,-3.38,110.6,114,-3.4,96.9,0.255,0.359,0.565,,0.528,12.1,21,0.201,,0.525,10.8,76.5,0.203,,Capital One Arena,"547,145","15,198"
25,Sacramento Kings,25.7,27,48,26,49,-5.17,0.26,-4.91,110,115.1,-5.1,99.8,0.259,0.379,0.56,,0.524,12.6,21.9,0.199,,0.55,11.8,76.3,0.178,,Golden 1 Center,"543,953","13,948"
26,Oklahoma City Thunder,22.5,21,53,20,54,-7.57,0.42,-7.15,104.3,111.9,-7.6,98.6,0.222,0.42,0.527,,0.494,12.3,21.6,0.17,,0.53,11.9,76.1,0.167,,Paycom Center,"530,804","14,346"
27,Portland Trail Blazers,25.9,27,47,21,53,-7.53,0.46,-7.07,108.6,116.2,-7.6,98.5,0.256,0.421,0.552,,0.517,12.8,23.2,0.195,,0.557,12.5,77.7,0.217,,Moda Center,"650,746","17,125"
28,Orlando Magic,23.3,20,55,20,55,-7.76,0.22,-7.55,104.4,112.2,-7.8,99.2,0.227,0.413,0.537,,0.501,13.1,20,0.179,,0.531,11.9,77.1,0.197,,Amway Center,"553,418","14,957"
29,Detroit Pistons,23.7,20,54,20,54,-7.91,0.37,-7.54,105.4,113.4,-8,98.4,0.25,0.387,0.53,,0.492,12.8,23.6,0.195,,0.54,13.1,75.7,0.222,,Little Caesars Arena,"583,719","15,776"
30,Houston Rockets,24.3,20,55,19,56,-8.61,0.35,-8.27,107.8,116.3,-8.5,100.7,0.284,0.446,0.564,,0.533,14.7,21.4,0.202,,0.553,12.4,74.6,0.202,,Toyota Center,"558,106","15,503"
,League Average,26.3,,,37,37,0,0,0,111.5,111.5,,98.2,0.247,0.399,0.564,,0.529,12.4,23.3,0.191,,0.529,12.4,76.7,0.191,,,"622,694","16,784"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,