Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Precious Achiuwa,C,22,TOR,73,1725,12.7,0.503,0.259,0.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,,0.4,2.1,2.5,0.07,,-2,-0.6,-2.6,-0.2
2,Steven Adams,C,28,MEM,76,1999,17.6,0.56,0.003,0.518,17.9,22,19.9,16.1,1.6,2.7,19.6,12,,3.8,3,6.8,0.163,,1,1,2,2
3,Bam Adebayo,C,24,MIA,56,1825,21.8,0.608,0.008,0.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25,,3.6,3.5,7.2,0.188,,1.7,2.1,3.8,2.7
4,Santi Aldama,PF,21,MEM,32,360,10.2,0.452,0.364,0.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,,-0.1,0.4,0.3,0.044,,-4.2,-1.5,-5.7,-0.3
5,LaMarcus Aldridge,C,36,BRK,47,1050,19.6,0.604,0.1,0.223,7.8,18.7,13.4,6.3,0.6,4,8,22.4,,2.1,1,3.1,0.141,,1.3,-0.6,0.7,0.7
6,Nickeil Alexander-Walker,SG,23,TOT,65,1466,10.5,0.475,0.497,0.16,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,,-1.1,1.1,0.1,0.003,,-1.8,-1.1,-2.9,-0.3
6,Nickeil Alexander-Walker,SG,23,NOP,50,1317,10.5,0.474,0.483,0.153,3,11,6.9,16.1,1.5,1.4,11.2,24.8,,-1.1,0.9,-0.1,-0.005,,-1.7,-1.3,-3,-0.3
6,Nickeil Alexander-Walker,SG,23,UTA,15,149,10.2,0.497,0.688,0.25,0.8,15.6,8.5,15.5,1.7,2.4,13.1,17.9,,0,0.2,0.2,0.07,,-2.9,1.2,-1.7,0
7,Grayson Allen,SG,26,MIL,66,1805,12.7,0.609,0.684,0.13,1.9,10.9,6.5,7.6,1.2,1,6.7,15.2,,2.8,1.4,4.2,0.11,,0.6,-0.2,0.5,1.1
8,Jarrett Allen,C,23,CLE,56,1809,23,0.698,0.018,0.428,12,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3,8.5,0.225,,2.7,1.2,3.9,2.7
9,Jose Alvarado,PG,23,NOP,54,834,16.4,0.52,0.374,0.18,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,,1,1.1,2.1,0.121,,-0.5,2.4,1.9,0.8
10,Justin Anderson,SF,28,TOT,16,316,10.4,0.493,0.621,0.2,1.4,15,8.1,14.2,1.2,1.7,7.2,15.1,,0.2,0.2,0.4,0.054,,-1.9,-1.3,-3.2,-0.1
10,Justin Anderson,SF,28,CLE,3,47,10.7,0.666,0.75,0.5,0,13.8,7.1,17.3,1.1,0,17,11.1,,0.1,0,0.1,0.124,,-3,0.4,-2.6,0
10,Justin Anderson,SF,28,IND,13,269,10.3,0.475,0.609,0.172,1.6,15.2,8.3,13.6,1.3,1.9,6,15.8,,0.1,0.1,0.2,0.041,,-1.7,-1.6,-3.3,-0.1
11,Kyle Anderson,PF,28,MEM,69,1484,14.4,0.506,0.232,0.224,4.8,21.6,13,16.2,2.5,2.7,12.1,16.2,,1,2.5,3.5,0.113,,-0.9,2.1,1.2,1.2
12,Giannis Antetokounmpo,PF,27,MIL,67,2204,32.1,0.633,0.194,0.615,6.6,30.4,18.7,31.7,1.6,4,12.2,34.9,,9.2,3.7,12.9,0.281,,7.6,3.5,11.2,7.4
13,Thanasis Antetokounmpo,SF,29,MIL,48,473,12.5,0.577,0.109,0.359,9.2,13.4,11.3,6.5,1.6,2.4,14.9,15.7,,0.4,0.5,0.9,0.095,,-3.5,-0.1,-3.5,-0.2
14,Carmelo Anthony,PF,37,LAL,69,1793,14.8,0.579,0.549,0.22,3.7,13.5,8.6,5.6,1.3,2.6,6.9,20.4,,2.2,1.4,3.6,0.097,,0.4,-0.8,-0.5,0.7
15,Cole Anthony,PG,21,ORL,65,2059,13.5,0.519,0.429,0.277,1.6,16.2,8.9,28.9,1.1,0.8,14.2,25.1,,-0.1,1.7,1.6,0.038,,-0.6,-0.6,-1.2,0.4
16,OG Anunoby,SF,24,TOR,48,1728,14.8,0.549,0.455,0.169,4.4,12.6,8.3,11,2.1,1.4,9.7,20.5,,1.8,1.9,3.7,0.104,,0.4,0.1,0.5,1.1
17,Ryan Arcidiacono,PG,27,NYK,10,76,6.1,0.667,0.75,0,0,11.5,5.7,7.5,0.7,0,20,8.6,,0,0.1,0.1,0.052,,-4.6,0,-4.6,-0.1
18,Trevor Ariza,SF,36,LAL,24,462,7,0.449,0.747,0.182,2.3,16.7,9.5,7.5,1.3,1.2,9.3,11,,-0.2,0.4,0.2,0.02,,-3.3,-0.2,-3.4,-0.2
19,D.J. Augustin,PG,34,TOT,55,883,9.7,0.61,0.739,0.194,1.4,7,4.2,16.8,0.9,0.1,18.9,14.3,,0.7,0.1,0.8,0.043,,-1.2,-2.4,-3.6,-0.4
19,D.J. Augustin,PG,34,HOU,34,510,9.7,0.596,0.706,0.279,1.5,7.4,4.4,20.5,0.9,0,22.8,16.4,,0.2,0,0.2,0.017,,-1.4,-2.9,-4.3,-0.3
19,D.J. Augustin,PG,34,LAL,21,373,9.7,0.635,0.791,0.058,1.2,6.6,3.9,11.8,0.9,0.2,11.1,11.4,,0.5,0.1,0.6,0.079,,-1,-1.6,-2.6,-0.1
20,Deni Avdija,SF,21,WAS,82,1984,11.6,0.536,0.447,0.235,3,20.5,11.9,11.8,1.5,1.9,12,16.3,,0.6,1.8,2.4,0.058,,-2.1,0.4,-1.7,0.1
21,Joel Ayayi,SG,21,WAS,7,20,3.4,0.167,0.167,0,5.6,10.9,8.3,25.4,0,0,0,13.3,,0,0,0,-0.098,,-4.3,-1.7,-6,0
22,Deandre Ayton,C,23,PHO,58,1713,21.9,0.656,0.027,0.204,9.6,27.1,18.6,7.6,1.1,2.1,10.7,21.4,,4.1,3.1,7.3,0.203,,2.2,0.6,2.8,2.1
23,Udoka Azubuike,C,22,UTA,17,195,17.6,0.743,0,0.224,10.5,28.8,19.9,0,0.3,5,18.2,14.7,,0.3,0.3,0.6,0.157,,-1.8,0.4,-1.4,0
24,Marvin Bagley III,PF,22,TOT,48,1146,15.7,0.551,0.217,0.226,9.7,22.6,16,5.2,0.9,1.4,7.4,19.8,,1.2,0.9,2,0.085,,-0.5,-1.8,-2.3,-0.1
24,Marvin Bagley III,PF,22,SAC,30,656,14.3,0.521,0.252,0.191,11,24.8,17.8,3.9,0.7,1.5,7.3,18.8,,0.5,0.4,0.9,0.068,,-1.1,-2.4,-3.5,-0.3
24,Marvin Bagley III,PF,22,DET,18,490,17.7,0.585,0.175,0.27,8,19.8,13.6,6.9,1.3,1.3,7.4,21.2,,0.7,0.4,1.1,0.107,,0.4,-0.9,-0.6,0.2
25,LaMelo Ball,PG,20,CHO,75,2422,19.7,0.554,0.451,0.194,4.7,17.4,11,35.7,2.4,1.2,15.3,28.2,,3.4,2.5,5.8,0.116,,3.3,0.2,3.4,3.3
26,Lonzo Ball,PG,24,CHI,35,1212,14.5,0.575,0.679,0.073,3.3,14.3,8.8,20,2.6,2.2,17.2,17.4,,0.8,1.4,2.2,0.088,,0.9,1.6,2.5,1.4
27,Mo Bamba,C,23,ORL,71,1824,16.5,0.582,0.455,0.118,8.5,24.6,16.5,7.4,1,5.9,10.6,17.2,,1.8,2.7,4.5,0.118,,-0.2,0.9,0.7,1.2
28,Desmond Bane,SF,23,MEM,76,2266,17.6,0.592,0.475,0.141,2.1,13.6,7.7,13.5,1.9,1.1,8.7,23.1,,4.5,2.7,7.2,0.153,,2.5,0.3,2.7,2.7
29,Dalano Banton,SF,22,TOR,64,696,10,0.463,0.252,0.218,5.6,14.1,9.7,19.8,2,1.4,19.3,16.9,,-0.4,0.8,0.4,0.03,,-3.4,0.4,-3,-0.2
30,Cat Barber,PG,27,ATL,3,13,-11.2,0,0,1,8.5,16.7,12.6,26.7,0,0,14.8,22.7,,-0.1,0,-0.1,-0.45,,-15.8,-7.6,-23.5,-0.1
31,Harrison Barnes,PF,29,SAC,77,2587,15.7,0.623,0.432,0.495,3.4,14.9,9.1,10.5,1,0.5,10.4,18.8,,5,1,6,0.112,,1.5,-1.3,0.2,1.4
32,Scottie Barnes,PF,20,TOR,74,2617,16.3,0.552,0.207,0.231,7.7,15.8,11.5,14.7,1.5,2.1,11.7,19,,3.7,2.9,6.6,0.122,,0.5,0.4,0.9,1.9
33,RJ Barrett,SF,21,NYK,70,2417,13.7,0.511,0.338,0.34,2.9,15.5,9.1,14.9,0.9,0.7,9.9,27.6,,0.1,2.2,2.3,0.046,,-0.3,-1.3,-1.6,0.2
34,Will Barton,SG,31,DEN,71,2277,13.4,0.548,0.48,0.142,2.2,14.1,8.3,17.6,1.2,1.2,11.8,20.8,,1.2,1.9,3.2,0.067,,0.4,-0.9,-0.5,0.9
35,Paris Bass,SF,26,PHO,2,7,13.9,0.436,0.333,0.333,31.5,29.9,30.6,0,6.9,0,22.5,54.6,,0,0,0,-0.17,,-11.2,-1.2,-12.4,0
36,Charles Bassey,PF,21,PHI,23,168,21.5,0.66,0.085,0.255,14.9,26.1,20.6,6.5,1.5,9.1,13.3,16.1,,0.4,0.3,0.8,0.22,,-0.3,2.2,1.9,0.2
37,Keita Bates-Diop,SF,26,SAS,59,956,12.4,0.578,0.209,0.232,6.8,18.7,12.7,5.7,1.4,1.2,13.4,14.8,,0.6,1,1.6,0.08,,-2.1,-0.5,-2.6,-0.1
38,Nicolas Batum,PF,33,LAC,59,1462,13.5,0.608,0.698,0.098,2.2,15.8,9.2,9.7,1.9,2.4,9,13.3,,1.6,2.1,3.7,0.123,,0.5,1.8,2.3,1.6
39,Kent Bazemore,SF,32,LAL,39,545,6,0.451,0.576,0.122,2.6,11,6.8,8.1,2.2,1.5,12.5,13.2,,-0.4,0.5,0.1,0.006,,-5.1,0.8,-4.3,-0.3
40,Darius Bazley,PF,21,OKC,69,1924,12.6,0.515,0.414,0.262,3.7,19.8,11.6,7.7,1.5,3.4,11.1,18.3,,-0.5,2.2,1.8,0.044,,-2.1,0.3,-1.8,0.1
41,Bradley Beal,SG,28,WAS,40,1439,17.5,0.539,0.272,0.263,3,11.4,7.3,30.8,1.2,0.9,13.6,30.8,,0.6,0.7,1.4,0.046,,2,-1.2,0.8,1
42,Malik Beasley,SG,25,MIN,79,1976,11.9,0.544,0.749,0.071,1.4,11.2,6.2,8.5,1,0.6,4.7,19.4,,1.7,1.2,2.9,0.069,,0.7,-1.5,-0.7,0.7
43,Jordan Bell,C,27,CHI,1,2,29.9,,,,56.6,0,28.1,0,24.4,0,,0,,0,0,0,0.6,,-8.1,10.8,2.7,0
44,DeAndre' Bembry,SF,27,TOT,56,1026,11.9,0.601,0.163,0.158,4.6,12.5,8.6,8.6,2.3,2.2,11.6,11.2,,1.1,1.1,2.2,0.104,,-2.2,1.5,-0.7,0.3
44,DeAndre' Bembry,SF,27,BRK,48,949,12.4,0.609,0.169,0.164,4.5,12.8,8.7,8.5,2.4,2.4,11.6,11.7,,1.1,1.1,2.1,0.108,,-2,1.6,-0.4,0.4
44,DeAndre' Bembry,SF,27,MIL,8,77,4.8,0.375,0,0,5.6,9.4,7.6,9.4,1.2,0,11.1,5,,0,0.1,0.1,0.053,,-4.4,0.5,-3.9,0
45,Dāvis Bertāns,PF,29,TOT,56,807,9.4,0.531,0.836,0.145,1.7,14.3,8,5.5,1,1.3,6.1,17.3,,0.2,0.7,0.9,0.053,,-1.7,-0.9,-2.6,-0.1
45,Dāvis Bertāns,PF,29,WAS,34,501,8.3,0.527,0.842,0.175,1.3,12,6.7,4.4,1.1,1,7.1,17.6,,0,0.3,0.3,0.025,,-2.5,-1.3,-3.8,-0.2
45,Dāvis Bertāns,PF,29,DAL,22,306,11.2,0.54,0.827,0.096,2.2,18.2,10.2,7.1,1,1.8,4.4,16.7,,0.2,0.4,0.6,0.098,,-0.4,-0.3,-0.6,0.1
46,Patrick Beverley,PG,33,MIN,58,1476,14.8,0.539,0.555,0.305,4.4,13.2,8.7,24.5,2.2,3.4,12.9,16.1,,2.3,1.7,4.1,0.132,,0.6,2.1,2.7,1.7
47,Saddiq Bey,SF,22,DET,82,2704,14,0.529,0.537,0.224,4.1,14.1,8.8,13.8,1.3,0.5,7.1,21.3,,2.4,1.6,4,0.071,,0.9,-1.2,-0.3,1.2
48,Khem Birch,C,29,TOR,55,991,13.2,0.534,0.07,0.355,12.7,13.5,13.1,7.6,1.5,2.6,11.1,11.2,,1.5,1.1,2.6,0.126,,-1.7,0.4,-1.3,0.2
49,Goga Bitadze,C,22,IND,50,729,18,0.595,0.317,0.373,11.9,15.3,13.5,11.2,1.4,5,13.6,19.9,,1.3,0.6,1.9,0.122,,-0.2,-0.6,-0.8,0.2
50,Bismack Biyombo,C,29,PHO,36,506,17.3,0.596,0,0.49,13.7,21.5,17.7,6.2,1.1,4.6,12.4,17.1,,0.9,0.9,1.8,0.17,,-1.7,0.4,-1.3,0.1
51,Nemanja Bjelica,C,33,GSW,71,1142,14.2,0.573,0.436,0.237,6.1,21.5,14.1,19.8,1.8,2.2,18.7,17.8,,1,2.1,3,0.128,,-0.9,2.3,1.4,1
52,Eric Bledsoe,PG,32,LAC,54,1361,12.5,0.514,0.348,0.25,2.2,11.6,7.1,24.1,2.5,1.2,18.3,20.5,,-0.5,1.8,1.3,0.047,,-2.1,1.3,-0.8,0.4
53,Keljin Blevins,SF,26,POR,31,349,4.8,0.41,0.649,0.099,4.9,9.5,7.1,7.7,1.8,0.3,12.8,16.5,,-0.6,0.1,-0.5,-0.066,,-5.6,-2.9,-8.5,-0.6
54,Bogdan Bogdanović,SG,29,ATL,63,1848,15.4,0.562,0.578,0.145,1.7,13,7.4,15.5,1.8,0.7,7.7,21.6,,2.5,1.2,3.7,0.095,,1.5,-0.2,1.3,1.5
55,Bojan Bogdanović,PF,32,UTA,69,2131,15.7,0.599,0.504,0.28,3.1,11.8,7.6,8.7,0.8,0,10.2,23.7,,3.6,1.6,5.2,0.118,,1.6,-1.6,0,1.1
56,Bol Bol,PF,22,DEN,14,81,13.5,0.565,0.148,0.185,5.7,21.4,13.8,9.1,0.6,2.2,12,18,,0,0.1,0.1,0.065,,-0.5,-0.4,-1,0
57,Leandro Bolmaro,SF,21,MIN,35,241,5.4,0.419,0.333,0.241,6.9,12.3,9.6,11,1.2,0,17.9,12.6,,-0.1,0.2,0,0.004,,-5.1,-0.7,-5.8,-0.2
58,Isaac Bonga,SF,22,TOR,15,69,8.7,0.363,0.308,0.615,6,5,5.5,7.3,5.8,2.8,10.8,11.5,,-0.1,0.1,0.1,0.06,,-5.4,5,-0.4,0
59,Devin Booker,SG,25,PHO,68,2345,21.3,0.576,0.336,0.255,2.1,13.2,7.8,22.4,1.6,1,9.3,32,,4.3,3.3,7.6,0.156,,3.9,0.2,4.1,3.6
60,Brandon Boston Jr.,SG,20,LAC,51,760,11.2,0.481,0.342,0.222,2.4,12.7,7.7,10.1,1.7,1.5,8,22.4,,-0.5,0.9,0.4,0.026,,-2.9,-0.4,-3.3,-0.3
61,Chris Boucher,PF,29,TOR,80,1690,17.9,0.57,0.397,0.334,10.9,21.3,15.8,2.2,1.4,4.3,6,17.8,,3.5,2.4,6,0.169,,0.5,-0.4,0,0.9
62,James Bouknight,SG,21,CHO,31,304,10.1,0.459,0.348,0.22,7.6,10.6,9.1,11.9,1.1,0.3,8.8,23.7,,-0.1,0.1,0,0.001,,-3.4,-3.7,-7.1,-0.4
63,Avery Bradley,SG,31,LAL,62,1406,7.8,0.55,0.6,0.051,2.4,8,5.2,4.5,1.8,0.6,9.6,12.1,,0.3,0.9,1.2,0.04,,-3.5,-0.1,-3.6,-0.6
64,Tony Bradley,C,24,CHI,55,549,14.9,0.6,0,0.236,13.8,24.3,19.1,6.7,0.9,5.2,20,13.6,,0.6,0.7,1.3,0.112,,-2,0.2,-1.8,0
65,Ignas Brazdeikis,SF,23,ORL,42,536,10.2,0.52,0.463,0.17,4.5,9.7,7.1,10.7,0.9,0.5,7.8,17.7,,0.2,0.3,0.5,0.041,,-2.7,-1.6,-4.3,-0.3
66,Mikal Bridges,SF,25,PHO,82,2854,14.4,0.627,0.364,0.183,2.9,10,6.5,8.7,1.6,1.1,6.8,15,,5.2,3.7,8.9,0.15,,0.5,1.1,1.6,2.6
67,Miles Bridges,PF,23,CHO,80,2837,17.9,0.593,0.383,0.274,3.3,17.8,10.4,15.7,1.3,2.2,9.9,22.6,,5,2.3,7.2,0.123,,1.8,-0.3,1.5,2.5
68,Oshae Brissett,SF,23,IND,67,1564,12.9,0.53,0.468,0.324,7.6,18.1,12.8,6.4,1.4,1.6,8.5,17.3,,1.4,0.9,2.2,0.069,,-0.5,-1.7,-2.2,-0.1
69,Malcolm Brogdon,PG,29,IND,36,1206,18,0.557,0.343,0.308,3,14.3,8.6,26.9,1.2,1,11.1,24.6,,2.2,0.4,2.7,0.106,,2.8,-0.5,2.3,1.3
70,Armoni Brooks,SG-PG,23,TOT,54,844,8.4,0.483,0.862,0.073,2.5,10.9,6.7,10.4,1.6,1.2,8.3,16.4,,-0.1,0.4,0.2,0.014,,-2.6,-1.3,-3.9,-0.4
70,Armoni Brooks,SG,23,HOU,41,690,8.4,0.49,0.849,0.076,1.9,11.1,6.4,10.3,1.4,1,8.1,17.4,,-0.2,0.2,0,0.002,,-2.6,-1.8,-4.4,-0.4
70,Armoni Brooks,PG,23,TOR,13,154,8.6,0.437,0.947,0.053,5.3,10.4,7.7,11,2.3,1.9,9.3,11.9,,0,0.2,0.2,0.067,,-2.8,1.2,-1.6,0
71,Dillon Brooks,SF,26,MEM,32,885,15.5,0.515,0.283,0.202,3.4,8.8,6,15.4,1.9,0.8,8,28.8,,0.7,0.9,1.6,0.087,,-1,-0.8,-1.8,0
72,Bruce Brown,SF,25,BRK,72,1774,15,0.575,0.186,0.253,6.3,14.7,10.6,11.5,2.1,2.6,9.1,15,,2.8,2,4.8,0.13,,-0.4,1.1,0.7,1.2
73,Charlie Brown Jr.,SG,24,TOT,22,177,6.5,0.346,0.308,0.256,9,11.2,10.1,4.5,2.8,2,10.3,12.3,,-0.2,0.2,0,0.012,,-5.2,0.4,-4.8,-0.1
73,Charlie Brown Jr.,SG,24,DAL,3,15,5.1,0.2,0.6,0,0,7.4,3.7,8.9,6.7,6,0,15,,-0.1,0,0,-0.05,,-7.7,5.1,-2.6,0
73,Charlie Brown Jr.,SG,24,PHI,19,162,6.6,0.365,0.265,0.294,9.8,11.5,10.7,4.1,2.5,1.7,11.5,12,,-0.1,0.2,0.1,0.018,,-5,-0.1,-5,-0.1
74,Chaundee Brown Jr.,SG-SF,23,TOT,5,104,6.4,0.447,0.563,0.188,1.1,15.7,8.4,5.1,0.9,0,2.8,14.9,,0,0,0,0.002,,-4.3,-2.4,-6.6,-0.1
74,Chaundee Brown Jr.,SF,23,LAL,2,21,-8.7,0.143,0.429,0,0,10.2,5.1,0,0,0,12.5,16.4,,-0.1,0,-0.1,-0.306,,-11.6,-5,-16.6,-0.1
74,Chaundee Brown Jr.,SG,23,ATL,3,83,10.3,0.525,0.6,0.24,1.3,17,9.2,6.4,1.2,0,0,14.6,,0.1,0,0.1,0.08,,-2.4,-1.7,-4.1,0
75,Greg Brown III,SF,20,POR,48,640,11,0.515,0.321,0.342,6.3,17.3,11.6,8.1,2,3.7,14.1,17.2,,-0.1,0.5,0.4,0.029,,-4,-0.7,-4.7,-0.4
76,Jaylen Brown,SF,25,BOS,66,2220,18.9,0.574,0.381,0.261,2.6,16.7,9.8,17.9,1.6,0.7,11.6,30.5,,2.3,3.4,5.8,0.124,,1.9,0.1,2.1,2.2
77,Moses Brown,C,22,TOT,40,345,18.5,0.612,0,0.667,12.7,30.5,21.7,0.4,1,4.2,12.5,20.7,,0.5,0.7,1.2,0.16,,-2.4,-0.9,-3.3,-0.1
77,Moses Brown,C,22,DAL,26,169,15.5,0.588,0,0.86,10.5,29.6,20.1,0.9,0.9,4.8,16.9,22.1,,0.1,0.3,0.4,0.111,,-4.7,-0.2,-4.8,-0.1
77,Moses Brown,C,22,CLE,14,176,21.4,0.636,0,0.5,14.8,31.4,23.2,0,1.1,3.5,7.8,19.3,,0.4,0.3,0.8,0.207,,-0.2,-1.7,-1.9,0
78,Sterling Brown,SG,26,DAL,49,628,8.4,0.495,0.594,0.097,4.6,21.8,13.2,7.5,1.1,1,12.5,13.2,,-0.1,0.9,0.8,0.061,,-3.4,0.5,-2.9,-0.1
79,Troy Brown Jr.,SF,22,CHI,66,1055,10.1,0.525,0.516,0.101,4.2,17.4,10.8,8.2,1.7,0.4,8.8,12.3,,0.5,0.9,1.4,0.065,,-1.7,-0.2,-1.8,0.1
80,Jalen Brunson,PG,25,DAL,79,2524,17.1,0.583,0.25,0.211,1.9,11.7,6.8,24.3,1.3,0.1,10.1,21.9,,4.9,2.7,7.5,0.143,,0.9,0,0.9,1.9
81,Thomas Bryant,C,24,WAS,27,439,16.6,0.607,0.284,0.27,6.7,20.4,13.6,7.9,0.7,4.1,10.3,18.7,,0.7,0.4,1.1,0.118,,-0.4,-0.7,-1,0.1
82,Shaq Buchanan,PG,25,MEM,2,10,0.6,0.25,0.5,0,10.2,10.7,10.5,24.9,4.8,0,33.3,24.6,,-0.1,0,0,-0.23,,-11.2,0.1,-11.2,0
83,Reggie Bullock,SF,30,DAL,68,1902,9.2,0.558,0.782,0.096,1.9,12.2,7,6.1,1.1,0.7,7.1,13.3,,1.2,2,3.2,0.08,,-1.4,0,-1.4,0.3
84,Trey Burke,PG,29,DAL,42,441,10,0.475,0.381,0.107,1,7.3,4.2,20.7,1.4,0,10.4,25.6,,-0.4,0.4,0,0.003,,-3.6,-1.4,-5,-0.3
85,Alec Burks,SG,30,NYK,81,2318,13.7,0.559,0.534,0.363,2.1,16.6,9.2,15.7,1.8,1.1,9.7,17.7,,3.2,2.9,6.1,0.126,,-0.4,1.2,0.8,1.7
86,Jared Butler,SG,21,UTA,42,360,12.1,0.509,0.583,0.106,1.6,11.8,6.8,26,2.3,2,17.3,23.1,,0,0.5,0.4,0.057,,-2.3,0.7,-1.6,0
87,Jimmy Butler,SF,32,MIA,57,1931,23.6,0.592,0.14,0.549,6.1,13.5,9.9,26.4,2.4,1.5,10.5,26.5,,6.2,2.9,9.2,0.228,,4.5,1.9,6.3,4
88,Devontae Cacok,PF,25,SAS,15,121,20.2,0.675,0,0.226,6.9,29.7,18.2,6.9,3.2,4.9,8.1,12.9,,0.3,0.3,0.5,0.206,,0.7,3.5,4.2,0.2
89,Kentavious Caldwell-Pope,SG,28,WAS,77,2329,12.6,0.568,0.492,0.186,2,10.3,6.2,9.1,1.8,0.9,9.8,19,,1.4,1.4,2.8,0.058,,-0.9,-0.6,-1.5,0.3
90,Facundo Campazzo,PG,30,DEN,65,1184,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,,0.6,1.3,2,0.081,,-2.1,1.3,-0.8,0.4
91,Vlatko Čančar,PF,24,DEN,15,176,12.7,0.657,0.293,0.341,5.2,14.1,9.8,13.2,0.6,1.5,16,14,,0.3,0.1,0.4,0.114,,-0.9,-0.9,-1.7,0
92,Devin Cannady,PG,25,ORL,5,145,8.6,0.531,0.841,0.159,0.7,3.7,2.2,10,1.7,1.9,9.6,15.5,,0,0.1,0.1,0.033,,-2.8,-0.4,-3.2,0
93,Clint Capela,C,27,ATL,74,2042,21.4,0.604,0.002,0.28,15,31.9,23.5,6.6,1.3,4.1,6.1,15.5,,5.6,2.7,8.3,0.195,,2.2,-0.1,2,2.1
94,Vernon Carey Jr.,C,20,TOT,7,44,15.8,0.534,0,1,19.9,9.8,14.8,0,2.2,1.9,13.8,21.6,,0,0,0.1,0.068,,-3,-4.5,-7.5,-0.1
94,Vernon Carey Jr.,C,20,CHO,4,17,17.2,0.546,0,0.5,18.4,12.6,15.6,0,2.8,0,12,20.8,,0,0,0,0.099,,-2.8,-5.2,-8,0
94,Vernon Carey Jr.,C,20,WAS,3,27,15,0.526,0,1.429,20.8,8.1,14.4,0,1.8,3.1,14.9,22.1,,0,0,0,0.049,,-3.2,-4.1,-7.3,0
95,Jevon Carter,PG,26,TOT,66,905,9.6,0.531,0.672,0.071,1.7,11.2,6.6,14,1.3,1.4,11.5,14,,0.5,0.7,1.2,0.062,,-1.8,-0.4,-2.2,-0.1
95,Jevon Carter,PG,26,BRK,46,552,6.5,0.462,0.73,0.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,,-0.4,0.4,-0.1,-0.005,,-3.6,-0.9,-4.4,-0.3
95,Jevon Carter,PG,26,MIL,20,353,14.4,0.679,0.544,0.101,1.5,11.2,6.5,18.8,1.4,1.1,8.8,10.9,,0.9,0.3,1.2,0.167,,0.9,0.3,1.2,0.3
96,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.4,0.9,2.1,13.1,20.9,,2.6,2.4,5,0.129,,1,0.6,1.6,1.7
97,Alex Caruso,SG,27,CHI,41,1147,11.7,0.528,0.492,0.285,3.3,11.2,7.3,18.5,3,1.1,16.5,13.3,,0.7,1.2,2,0.082,,-2.2,2.3,0.2,0.6
98,Willie Cauley-Stein,C,28,TOT,20,183,8.3,0.474,0.057,0.057,7.9,16.4,12.2,7.5,1.7,1.5,16.3,10.6,,0,0.3,0.2,0.066,,-4.1,1.1,-3,0
